Aluno,Total_Aulas,Presencas,Frequencia (%),Curso,Media
Carla Mendes,64,45,70.3125,Engenharia,6.957777777777778
Carla Mendes,64,45,70.3125,Design,6.957777777777778
Carla Mendes,64,45,70.3125,Computação,6.957777777777778
Fernanda Dias,55,40,72.72727272727273,Design,7.305
Fernanda Dias,55,40,72.72727272727273,Computação,7.305
Fernanda Dias,55,40,72.72727272727273,Engenharia,7.305
Mariana Silva,72,52,72.22222222222221,Computação,7.723076923076923
Mariana Silva,72,52,72.22222222222221,Engenharia,7.723076923076923
Mariana Silva,72,52,72.22222222222221,Design,7.723076923076923
Mateus Pinto,51,38,74.50980392156863,Engenharia,7.560526315789474
Mateus Pinto,51,38,74.50980392156863,Design,7.560526315789474
Mateus Pinto,51,38,74.50980392156863,Computação,7.560526315789474
